user_id,age_group,gender,country,device_type,signup_source,signup_date,trial_end_date,subscription_date,cancellation_date,last_active_date,is_premium,free_trial_used,cancelled_subscription,subscription_plan,monthly_cost,payment_method,daily_listening_mins,skip_rate,repeat_play_count,playlist_count
U01311,25-34,Prefer not to say,UK,,ad,2021-01-12,2021-02-11,2021-02-23,2022-10-05,2023-10-30,1,1,1,student,4.99,paypal,45.0,0.72,88.0,3.0
U01007,25-34,M,UK,mobile,,2022-08-02,,,,2023-03-30,0,0,0,free,0.0,,34.0,0.62,32.0,37.0
U01827,18-24,Other,UK,mobile,ad,2023-07-04,,2023-08-30,2023-10-17,2023-03-30,1,0,1,family,15.99,google_pay,175.0,0.18,55.0,46.0
U01023,,M,UK,mobile,ad,2023-03-30,,2023-06-24,,2024-11-07,1,0,0,individual,9.99,apple_pay,105.0,0.62,68.0,4.0
U01688,18-24,F,US,mobile,referral,2022-07-11,,,,2023-12-26,0,0,0,free,0.0,,9.0,0.71,70.0,21.0
U01704,25-34,Prefer not to say,India,desktop,social_media,2023-12-30,,2024-05-15,,2024-01-17,1,0,0,student,4.99,card,125.0,0.11,39.0,8.0
U00343,45-54,M,UK,mobile,,2021-10-30,2021-11-30,2021-10-23,2023-04-30,2024-04-30,1,1,1,student,4.99,google_pay,40.0,0.87,40.0,38.0
U01814,35-44,M,UK,mobile,social_media,2022-09-06,2022-10-06,,,2023-03-30,0,1,0,free,0.0,,54.0,0.11,24.0,15.0
U00451,35-44,Prefer not to say,US,mobile,referral,2021-08-08,,2021-09-22,2022-07-30,2023-07-02,1,0,1,individual,9.99,google_pay,53.0,0.58,76.0,37.0
U01506,45-54,Prefer not to say,US,mobile,organic,2021-03-30,2021-09-05,2021-08-13,2021-10-17,2024-03-24,1,1,1,individual,9.99,card,94.0,0.34,38.0,32.0
U01780,35-44,Other,US,desktop,ad,,,2021-12-11,2023-10-30,2023-03-30,1,0,1,student,4.99,card,68.0,0.16,9.0,26.0
U01434,55+,Prefer not to say,India,mobile,,,2021-02-01,2021-06-30,2021-09-12,2023-01-15,1,1,1,,15.99,paypal,40.0,0.34,18.0,
U00221,45-54,,Germany,desktop,,2023-08-30,,2023-12-30,,2024-03-02,1,0,0,student,4.99,apple_pay,139.0,0.12,21.0,27.0
U00212,35-44,M,Australia,mobile,,2022-08-30,2022-09-13,2022-12-30,2023-01-23,2023-03-30,1,1,1,student,4.99,google_pay,150.0,0.97,38.0,3.0
U00465,25-34,Prefer not to say,Canada,mobile,,2022-12-10,2023-01-30,2023-02-05,2024-03-30,2024-06-10,1,1,1,individual,9.99,,29.0,0.46,100.0,38.0
U00112,35-44,M,US,tablet,referral,2021-10-10,2021-03-30,2021-03-30,2023-03-30,,1,1,1,student,4.99,card,119.0,0.41,42.0,39.0
U01830,45-54,Other,UK,tablet,organic,2023-01-16,2023-02-15,2023-03-30,2024-03-26,2024-03-30,1,1,1,individual,9.99,google_pay,92.0,0.74,11.0,16.0
U01318,45-54,F,UK,desktop,,2021-06-10,2021-03-30,2022-02-14,2022-03-30,2024-11-29,1,1,1,individual,9.99,google_pay,160.0,0.28,38.0,23.0
U01293,55+,M,Germany,desktop,referral,2021-08-05,2021-03-30,2021-10-23,,2024-07-03,1,1,0,individual,9.99,apple_pay,9.0,0.38,13.0,41.0
U00290,25-34,Other,US,tablet,organic,2021-05-19,,2021-03-30,2022-03-30,2023-01-30,1,0,1,family,15.99,google_pay,136.0,0.01,47.0,24.0
U00612,,M,France,tablet,social_media,2023-09-08,,2023-05-11,,2023-03-30,1,0,0,student,4.99,paypal,42.0,0.05,73.0,23.0
U01333,18-24,F,US,tablet,social_media,2023-01-11,2023-02-28,,,2023-11-03,0,1,0,free,0.0,,82.0,0.17,81.0,12.0
U00539,55+,Other,Canada,,referral,2023-08-03,2023-03-30,2023-03-30,2024-10-27,2024-07-20,1,1,1,family,15.99,apple_pay,125.0,0.41,91.0,38.0
U00307,18-24,Other,Brazil,mobile,social_media,2023-04-23,2023-05-23,2023-03-30,2024-01-07,2023-06-24,1,1,1,individual,9.99,google_pay,97.0,0.86,44.0,5.0
U00189,18-24,F,UK,desktop,ad,2022-02-03,2022-03-30,2022-06-09,2022-09-19,2023-07-14,1,1,1,family,15.99,paypal,49.0,0.15,84.0,5.0
U01426,,F,France,mobile,ad,2021-04-29,2021-05-29,2021-06-17,2022-08-02,2023-09-21,1,1,1,family,15.99,google_pay,14.0,0.62,17.0,30.0
U01491,25-34,F,Australia,mobile,referral,2021-10-26,,,,2024-06-19,0,0,0,free,0.0,,135.0,0.78,97.0,6.0
U00483,45-54,M,France,tablet,referral,2023-04-15,2023-03-30,,,2023-02-28,0,1,0,free,0.0,,40.0,0.3,68.0,0.0
U01609,18-24,,UK,desktop,social_media,2023-06-22,2023-07-22,2023-09-27,2024-04-30,2023-03-02,1,1,1,student,4.99,paypal,80.0,0.96,50.0,16.0
U00693,35-44,Prefer not to say,France,,referral,2021-07-22,2021-03-30,,,2024-04-17,0,1,0,free,0.0,,141.0,0.51,42.0,
U01558,35-44,Other,UK,desktop,organic,2021-06-30,,2021-11-25,2022-11-24,2023-08-27,1,0,1,family,15.99,paypal,63.0,0.23,59.0,0.0
U00531,35-44,M,,tablet,referral,2022-12-20,2023-01-19,,,2023-09-08,0,1,0,free,0.0,,8.0,0.33,18.0,16.0
U01792,18-24,,US,desktop,,2022-12-08,2022-09-11,2023-01-22,2024-03-30,2024-10-29,1,1,1,student,4.99,apple_pay,119.0,0.52,33.0,39.0
U01294,45-54,M,Germany,mobile,,2021-10-13,,2022-03-30,,2024-11-30,1,0,0,student,4.99,,128.0,0.48,87.0,46.0
U01379,18-24,Other,UK,smart_tv,organic,2023-08-17,2023-09-16,2024-02-02,,2023-03-30,1,1,0,family,15.99,paypal,98.0,0.62,,44.0
U00536,45-54,Other,UK,mobile,social_media,2021-03-30,,,,2023-03-30,0,0,0,free,0.0,,18.0,0.8,71.0,39.0
U01576,55+,F,India,tablet,ad,2022-08-25,2022-09-30,2023-03-30,2023-03-30,2023-03-20,1,1,1,individual,9.99,paypal,27.0,0.54,38.0,12.0
U01319,18-24,Other,UK,smart_tv,organic,2023-03-30,2023-05-30,2023-03-30,,2023-08-04,1,1,0,student,4.99,paypal,152.0,0.11,29.0,1.0
U01284,18-24,M,India,mobile,,2023-04-17,2023-05-17,2023-03-30,2024-03-30,2024-05-30,1,1,1,individual,9.99,,95.0,0.09,65.0,42.0
U00240,55+,F,US,tablet,,2022-10-03,,2023-01-29,2023-05-30,2023-03-30,1,0,1,family,,google_pay,35.0,0.5,54.0,27.0
U00368,18-24,Other,UK,desktop,social_media,2023-03-30,2024-01-30,2024-03-15,2026-04-02,2023-03-30,1,1,1,family,15.99,google_pay,89.0,0.66,69.0,7.0
U01721,18-24,F,India,mobile,organic,2022-11-20,2022-12-20,2023-03-30,,2024-11-30,1,1,0,student,4.99,apple_pay,52.0,0.81,45.0,44.0
U01813,55+,F,Brazil,mobile,,2023-02-13,2023-03-30,2023-03-30,2023-04-30,2023-04-10,1,1,1,student,4.99,card,125.0,0.77,,48.0
U00722,35-44,Prefer not to say,UK,desktop,social_media,2022-03-30,2023-01-24,2023-03-30,2024-11-03,2023-07-16,1,1,1,individual,9.99,,65.0,0.21,51.0,39.0
U01915,35-44,F,Germany,mobile,organic,2023-03-30,,,,2024-12-30,0,0,0,free,0.0,,106.0,0.15,35.0,44.0
U01334,18-24,Prefer not to say,India,mobile,referral,2022-03-30,2023-01-30,2023-05-30,,2023-03-30,1,1,0,individual,9.99,apple_pay,92.0,0.61,23.0,10.0
U00600,35-44,M,US,desktop,referral,2021-01-20,,2021-05-05,2023-03-19,2024-09-08,1,0,1,individual,9.99,google_pay,54.0,0.02,77.0,45.0
U01369,25-34,F,Germany,mobile,ad,2023-10-30,2023-11-29,2024-02-29,,2024-04-07,1,1,0,family,15.99,apple_pay,63.0,0.45,13.0,37.0
U01430,55+,F,Australia,mobile,social_media,2023-03-30,,,,2023-07-30,0,0,0,free,0.0,,169.0,0.94,70.0,5.0
U01630,35-44,F,UK,desktop,social_media,2023-04-02,,2023-09-30,,2024-01-31,1,0,0,family,15.99,paypal,9.0,0.64,11.0,36.0
U00655,35-44,M,US,desktop,organic,2023-01-30,2023-02-14,2023-05-18,2023-11-12,2024-11-10,1,1,1,student,4.99,paypal,134.0,0.34,23.0,5.0
U00533,25-34,Other,India,tablet,ad,2021-01-12,2021-03-30,,,2024-03-30,0,1,0,free,0.0,,45.0,0.55,43.0,27.0
U00066,25-34,Prefer not to say,India,tablet,organic,2021-04-09,2021-05-09,2021-03-30,,2023-07-07,1,1,0,individual,9.99,google_pay,35.0,0.16,100.0,47.0
U01984,55+,Prefer not to say,Australia,mobile,referral,2021-01-18,,,,,0,0,0,free,0.0,,34.0,1.0,40.0,15.0
U00125,25-34,Other,UK,tablet,organic,2021-02-01,,2021-03-30,2022-05-04,2023-10-19,1,0,1,individual,9.99,google_pay,125.0,0.14,96.0,41.0
U00101,25-34,M,India,mobile,organic,2022-11-27,,2023-02-23,2024-05-30,2023-07-24,1,0,1,family,15.99,card,59.0,0.26,78.0,1.0
U00901,25-34,Prefer not to say,India,mobile,organic,2021-01-13,,2021-02-22,2021-08-04,2023-03-30,1,0,1,student,4.99,google_pay,176.0,0.29,55.0,6.0
U00211,55+,M,,tablet,organic,2023-03-30,2023-03-30,,,2024-07-01,0,1,0,,0.0,,125.0,0.24,90.0,48.0
U01231,45-54,Other,France,mobile,ad,2021-10-22,,2022-03-13,,2023-03-30,1,0,0,individual,9.99,card,85.0,0.81,3.0,20.0
U01524,55+,,UK,smart_tv,social_media,2022-08-24,2022-09-23,2023-01-20,2023-09-30,2024-01-07,1,1,1,individual,9.99,apple_pay,28.0,0.56,43.0,31.0
U01182,35-44,M,India,desktop,social_media,2021-06-29,,2021-12-17,,2023-05-26,1,0,0,family,15.99,paypal,139.0,0.92,85.0,27.0
U00906,25-34,Prefer not to say,UK,smart_tv,referral,2023-03-30,,2024-11-03,2025-03-23,2024-04-30,1,0,1,individual,9.99,google_pay,22.0,0.05,87.0,22.0
U00940,35-44,M,Germany,mobile,organic,2021-11-12,,,,2024-06-27,0,0,0,free,0.0,,147.0,0.22,9.0,10.0
U01852,18-24,F,US,tablet,social_media,2021-11-27,,2022-05-30,2023-04-25,2023-08-05,1,0,1,student,4.99,apple_pay,29.0,0.38,53.0,50.0
U01979,55+,,UK,desktop,organic,2022-12-09,,2023-02-15,2023-03-30,2023-09-13,1,0,1,family,15.99,google_pay,122.0,0.99,15.0,5.0
U00520,25-34,M,Australia,mobile,organic,2023-12-30,,2024-02-29,,2024-01-02,1,0,0,student,4.99,apple_pay,,0.37,0.0,21.0
U00472,35-44,M,US,desktop,organic,2021-12-18,,2022-05-22,,,1,0,0,individual,9.99,apple_pay,,0.22,63.0,
U00706,35-44,F,UK,mobile,,2023-06-30,,2023-06-13,,2023-01-27,1,0,0,student,4.99,,38.0,0.86,10.0,29.0
U01494,18-24,F,US,smart_tv,ad,2022-03-31,,2022-03-30,2023-07-01,2024-04-07,1,0,1,,15.99,card,43.0,0.23,81.0,13.0
U00747,25-34,F,,mobile,ad,2023-07-30,,2023-09-30,,2023-03-30,1,0,0,student,4.99,apple_pay,117.0,0.1,43.0,13.0
U00197,55+,Prefer not to say,Canada,mobile,,2022-02-27,2022-03-30,2022-03-23,,2024-03-30,1,1,0,family,15.99,google_pay,0.0,0.25,36.0,40.0
U00631,45-54,Prefer not to say,UK,tablet,organic,2022-07-18,,,,2023-03-30,0,0,0,free,0.0,,151.0,0.39,56.0,27.0
U00185,18-24,Other,UK,desktop,ad,2021-05-30,2021-06-11,2021-07-30,2023-05-13,2024-02-23,1,1,1,individual,9.99,card,119.0,0.65,85.0,11.0
U00487,45-54,,UK,mobile,organic,2021-04-18,,,,2023-05-30,0,0,0,free,0.0,,138.0,0.55,81.0,40.0
U00298,35-44,Prefer not to say,UK,smart_tv,organic,2023-03-30,,2023-03-17,,2023-03-30,1,0,0,student,4.99,apple_pay,35.0,0.2,15.0,
U01955,45-54,F,Canada,mobile,organic,2023-03-30,2023-10-30,2023-06-11,2024-08-30,2024-03-30,1,1,1,,15.99,apple_pay,89.0,0.61,88.0,42.0
U01786,35-44,,Brazil,mobile,,,2021-07-24,,,2023-12-09,0,1,0,free,0.0,,152.0,0.37,25.0,12.0
U01759,45-54,Prefer not to say,UK,mobile,social_media,2022-08-24,2022-03-30,2022-03-30,2022-12-20,2023-02-28,1,1,1,student,4.99,card,162.0,0.46,12.0,30.0
U01821,,F,US,desktop,,2022-11-22,2022-12-22,2023-04-30,,2024-07-11,1,1,0,student,4.99,,82.0,0.01,71.0,9.0
U00486,55+,Other,Germany,mobile,,2023-10-01,,2024-01-10,,2024-03-30,1,0,0,student,4.99,card,89.0,0.84,25.0,2.0
U01386,55+,M,UK,desktop,ad,2021-03-30,2021-03-30,,,2023-04-30,0,1,0,free,0.0,,89.0,0.97,23.0,36.0
U01263,45-54,Prefer not to say,UK,smart_tv,ad,,2022-03-30,2022-03-30,,2023-05-09,1,1,0,individual,,card,143.0,0.71,36.0,21.0
U01678,25-34,Other,UK,desktop,organic,2023-09-30,2023-10-23,2023-11-25,2024-01-15,2024-08-02,1,1,1,family,15.99,paypal,112.0,0.5,45.0,49.0
U00412,55+,Other,UK,mobile,ad,2022-09-24,,2022-10-13,2024-03-07,2023-12-04,1,0,1,individual,9.99,paypal,69.0,0.38,33.0,3.0
U00496,35-44,M,Germany,desktop,organic,2023-12-08,2023-09-30,2023-12-30,2025-03-30,,1,1,1,individual,9.99,paypal,,0.36,49.0,22.0
U00721,25-34,M,US,,referral,2021-05-25,2021-03-30,,,2024-08-30,0,1,0,free,0.0,,157.0,0.9,48.0,47.0
U00317,18-24,Prefer not to say,UK,mobile,social_media,2022-03-30,,,,2023-04-16,0,0,0,free,0.0,,79.0,0.37,27.0,2.0
U00760,25-34,Other,Australia,desktop,ad,2021-09-30,2021-10-07,,,2023-10-26,0,1,0,free,0.0,,77.0,0.57,27.0,20.0
U01223,55+,Other,India,tablet,,2022-03-13,2022-12-04,,,2024-08-01,0,1,0,,0.0,,4.0,0.91,34.0,18.0
U00808,35-44,F,US,desktop,,2022-03-30,,2022-09-23,2023-03-30,2024-03-30,1,0,1,individual,9.99,google_pay,16.0,0.47,38.0,35.0
U00070,25-34,Prefer not to say,UK,desktop,organic,,2022-08-30,,,2023-03-30,0,1,0,free,0.0,,35.0,0.09,99.0,27.0
U00213,55+,F,France,smart_tv,referral,2021-09-29,2021-10-29,2022-03-30,2023-01-26,2023-12-10,1,1,1,individual,9.99,apple_pay,83.0,0.36,86.0,25.0
U01703,35-44,Other,UK,desktop,referral,2021-11-29,,2022-03-30,2024-03-29,2024-05-30,1,0,1,family,15.99,paypal,138.0,0.4,63.0,34.0
U00530,45-54,,Germany,mobile,,2023-06-30,2023-07-26,2023-03-30,,2023-03-30,1,1,0,family,15.99,card,172.0,0.31,62.0,9.0
U01323,35-44,Other,India,mobile,referral,2021-03-30,2021-06-22,2021-06-30,,2024-03-30,1,1,0,family,15.99,paypal,82.0,0.13,2.0,46.0
U01672,18-24,M,Australia,desktop,,2021-05-10,,2021-02-07,2022-06-03,2024-06-30,1,0,1,student,4.99,google_pay,180.0,0.25,31.0,49.0
U00383,25-34,M,US,smart_tv,referral,2021-11-04,,,,2024-10-05,0,0,0,free,0.0,,85.0,0.25,26.0,1.0
U00100,35-44,M,France,mobile,referral,2021-12-21,,2022-01-30,,2023-03-21,1,0,0,individual,9.99,paypal,12.0,0.75,68.0,18.0
U00833,,F,Brazil,desktop,ad,2021-09-08,,,,2023-03-30,0,0,0,free,0.0,,84.0,0.35,43.0,11.0
U00248,45-54,F,US,mobile,,2021-10-31,2021-03-30,2022-04-23,,2023-05-30,1,1,0,student,4.99,card,50.0,0.03,32.0,15.0
U01884,18-24,M,France,mobile,social_media,2022-04-30,2022-05-17,,,2024-08-30,0,1,0,free,0.0,,120.0,0.91,25.0,30.0
U01999,25-34,M,US,mobile,,2023-08-30,2023-09-30,2023-12-28,2025-01-12,2024-12-21,1,1,1,student,4.99,apple_pay,148.0,0.42,4.0,35.0
U01271,35-44,Prefer not to say,UK,tablet,referral,2022-03-30,2022-08-29,,,2024-04-12,0,1,0,free,0.0,,134.0,0.98,15.0,50.0
U01803,25-34,F,UK,mobile,organic,2022-01-08,2022-03-30,,,2024-05-30,0,1,0,free,0.0,,180.0,0.97,3.0,7.0
U00950,35-44,F,UK,desktop,,2021-09-29,2021-03-30,2022-03-30,2022-03-30,2023-08-29,1,1,1,student,4.99,google_pay,70.0,0.2,95.0,39.0
U00549,25-34,Other,Brazil,mobile,social_media,2022-03-30,2022-03-11,2022-02-28,2023-07-06,2024-03-30,1,1,1,student,4.99,paypal,7.0,0.33,44.0,1.0
U00544,55+,F,,mobile,organic,2021-03-30,2021-07-29,2021-02-09,,2024-12-30,1,1,0,individual,9.99,google_pay,70.0,0.4,6.0,22.0
U01413,35-44,M,Germany,,referral,2021-03-30,,2021-10-24,,2024-12-26,1,0,0,individual,9.99,google_pay,173.0,0.51,68.0,50.0
U00439,25-34,M,India,smart_tv,organic,2022-08-30,,2022-12-15,,2023-01-09,1,0,0,student,4.99,card,41.0,0.58,,39.0
U01602,,M,US,desktop,,2023-09-26,2023-10-26,2024-01-30,,2023-10-30,1,1,0,student,4.99,apple_pay,102.0,0.84,59.0,4.0
U01285,45-54,M,Australia,desktop,referral,2023-04-30,,2023-11-08,2023-11-29,2023-03-30,1,0,1,individual,9.99,google_pay,135.0,0.71,39.0,26.0
U00300,25-34,M,Canada,tablet,social_media,2023-12-30,,2024-03-30,,2023-08-17,1,0,0,family,15.99,card,133.0,0.13,65.0,33.0
U00963,25-34,Other,UK,desktop,social_media,2023-03-30,,,,2023-03-30,0,0,0,free,0.0,,143.0,0.65,59.0,43.0
U00515,35-44,F,Australia,mobile,social_media,2023-07-22,2023-08-21,,,2024-03-30,0,1,0,free,0.0,,17.0,0.46,95.0,25.0
U01336,18-24,,UK,mobile,referral,2022-07-26,,2022-09-01,,2024-11-23,1,0,0,individual,9.99,apple_pay,56.0,0.33,39.0,46.0
U01286,35-44,Other,UK,desktop,referral,2022-01-21,,2022-02-05,,2023-05-27,1,0,0,student,4.99,paypal,119.0,0.24,99.0,14.0
U01079,45-54,Other,UK,desktop,,2022-03-15,2022-04-14,2022-03-30,,2023-06-10,1,1,0,individual,9.99,card,155.0,0.43,46.0,30.0
U00430,25-34,Prefer not to say,UK,tablet,referral,2023-01-05,2023-02-04,2023-03-28,2024-02-16,2024-04-28,1,1,1,individual,9.99,apple_pay,17.0,0.43,94.0,26.0
U00322,18-24,M,Brazil,tablet,organic,2023-03-14,,2023-07-15,2024-02-02,2023-03-30,1,0,1,family,15.99,paypal,70.0,0.19,88.0,0.0
U00428,25-34,Prefer not to say,UK,mobile,organic,2022-02-28,,2022-07-30,,2024-03-30,1,0,0,student,4.99,google_pay,42.0,,74.0,16.0
U01317,25-34,M,Germany,mobile,organic,2021-11-04,2021-05-11,2021-07-13,2022-10-13,2024-05-17,1,1,1,student,4.99,card,180.0,0.16,50.0,45.0
U00813,25-34,M,UK,mobile,ad,2023-03-30,,,,2024-05-29,0,0,0,free,0.0,,32.0,0.12,95.0,25.0
U00941,35-44,Other,US,mobile,,2023-05-30,2023-06-30,2023-10-09,2024-08-30,2023-12-04,1,1,1,student,4.99,google_pay,60.0,0.31,25.0,23.0
U01234,45-54,Prefer not to say,UK,mobile,,,,2023-02-16,2024-03-30,2023-11-05,1,0,1,,4.99,paypal,39.0,0.52,57.0,49.0
U00276,18-24,F,US,tablet,organic,2023-03-30,,,,2024-03-30,0,0,0,free,0.0,,145.0,0.93,54.0,50.0
U00255,55+,,UK,tablet,,2022-03-30,,,,2024-06-13,0,0,0,free,0.0,,95.0,0.47,75.0,3.0
U01565,35-44,Other,US,desktop,ad,2023-06-10,2023-11-30,2023-11-20,,2023-02-07,1,1,0,student,4.99,google_pay,31.0,0.95,24.0,26.0
U01055,55+,F,France,mobile,organic,2023-11-30,2023-03-30,2024-03-30,2024-09-13,2024-05-23,1,1,1,individual,9.99,paypal,124.0,0.6,50.0,43.0
U00923,45-54,Prefer not to say,UK,smart_tv,referral,2023-07-31,2023-08-30,,,2023-03-30,0,1,0,free,,,80.0,0.16,59.0,33.0
U01770,25-34,F,UK,mobile,referral,2022-07-30,2022-08-26,2022-08-11,,,1,1,0,individual,9.99,paypal,110.0,0.94,58.0,48.0
U00965,45-54,M,UK,mobile,organic,2022-05-24,2022-06-23,,,2023-03-30,0,1,0,free,0.0,,130.0,0.62,58.0,19.0
U00433,45-54,M,US,mobile,social_media,2021-10-24,,2022-01-02,,2024-06-01,1,0,0,individual,9.99,paypal,79.0,0.61,90.0,6.0
U00938,55+,Other,France,tablet,social_media,2022-07-23,,2022-03-30,,2023-01-06,1,0,0,family,15.99,apple_pay,85.0,0.84,39.0,34.0
U00787,18-24,Other,Brazil,mobile,,2022-10-26,,2023-03-30,,2023-04-01,1,0,0,individual,9.99,apple_pay,180.0,0.84,94.0,19.0
U00694,25-34,Prefer not to say,UK,desktop,organic,2021-05-11,2021-12-05,2022-06-01,2023-05-24,2024-07-30,1,1,1,individual,9.99,paypal,81.0,0.57,88.0,42.0
U00850,45-54,F,UK,desktop,,2022-11-21,,2023-01-05,,2024-01-16,1,0,0,student,4.99,google_pay,47.0,0.34,49.0,1.0
U00945,25-34,Prefer not to say,UK,mobile,,2023-12-06,2023-07-30,2023-10-26,,2023-11-17,1,1,0,student,4.99,google_pay,44.0,0.91,96.0,5.0
U01620,45-54,Prefer not to say,India,desktop,referral,2023-08-04,,,,2024-04-12,0,0,0,free,0.0,,6.0,0.15,,21.0
U00562,35-44,Other,UK,mobile,ad,2022-01-22,2022-02-21,,,2023-03-30,0,1,0,free,0.0,,73.0,0.55,11.0,20.0
U01145,18-24,Other,Germany,mobile,social_media,2023-06-13,2023-07-30,2023-07-30,,2024-08-18,1,1,0,student,4.99,,180.0,1.0,20.0,20.0
U00306,45-54,M,UK,mobile,referral,,2023-03-30,2023-01-30,2023-05-29,2023-06-05,1,1,1,student,4.99,card,38.0,0.29,96.0,26.0
U01188,25-34,F,,smart_tv,ad,2023-01-04,2023-02-28,2023-03-30,2023-08-30,2024-03-30,1,1,1,individual,9.99,paypal,48.0,0.35,60.0,23.0
U01567,25-34,F,,desktop,organic,2021-11-30,2021-03-30,2022-03-22,,2023-12-21,1,1,0,family,15.99,apple_pay,25.0,0.92,46.0,34.0
U00608,18-24,Other,France,,organic,2022-07-29,,2022-09-21,2023-08-13,2023-09-05,1,0,1,,4.99,google_pay,55.0,0.81,16.0,31.0
