track_id,track_name,artist_name,album_name,popularity,duration_ms,explicit,release_date,genre
HIP00605,Situation Military,Travis Scott,Sense Manage,64,183147.0,False,,HIP-HOP
ELE00712,Skin Buy,Calvin Harris,,44,220352.0,1,2024-10-06,EDM
HIP00225,Church National,Post Malone,Usually Center,63,196984.0,False,2022-05-11,Hip-Hop
POP01029,Allow Study,Billie Eilish,,68,214324.0,0,2021-10-22,pop
R-N01826,Smile Administration,H.E.R.,Real Two,74,171832.0,False,Oct 2015,r&b
POP01755,According Night,Billie Eilish,A Significant,84,164665.0,0,,pop music
R-N02482,Generation Affect,Ella Mai,Field Into,58,173817.0,yes,Nov 2018,RNB
ROC00212,Huge White,Foo Fighters,,58,172703.0,clean,2020,Rock
ELE00368,Leg As,Four Tet,Total Woman,63,231793.0,False,2023,electronic
HIP01012,Cell Require,Travis Scott,Both Green,63,204759.0,yes,,hiphop
HIP01543,It Significant,Nicki Minaj,Water Usually,66,247176.0,clean,2020,Hip-Hop
R-N00397,Four Oil,Frank Ocean,Arm Strategy,65,268589.0,0,Jul 2021,r-n-b
ROC02706,Condition Factor,Imagine Dragons,Second Speech,64,239327.0,1,Jun 2016,Rock
POP02808,Data Teacher,Billie Eilish,Daughter Economic,81,235959.0,True,02-05-2022,pop music
HIP01901,Role Affect,Kendrick Lamar,Responsibility Boy,63,184527.0,0,09-24-2020,hiphop
POP02337,Message Avoid,Billie Eilish,Development Safe,75,213175.0,False,2023,
ROC01970,According Author,Imagine Dragons,Her Family,,164453.0,,2015,rock
HIP02634,Set Everyone,Cardi B,Experience Season,64,160021.0,explicit,,hip hop
ELE00144,Should Sport,Martin Garrix,Set Detail,51,156634.0,0,25/12/2019,ELECTRONIC
POP02234,Painting Tend,,Work Apply,66,265537.0,explicit,11/08/2019,pop music
POP02520,Son Leader,Olivia Rodrigo,As Still,76,0.0,clean,,
ROC01443,Tough Benefit,Linkin Park,Find First,68,190688.0,False,03-16-2019,Rock
HIP01077,Government Provide,Cardi B,,56,241355.0,explicit,15/08/2023,hip-hop
R-N02131,Republican Trouble,The Weeknd,Drug Benefit,71,268268.0,clean,15/06/2018,R&B
ELE02479,Street To,Calvin Harris,Firm Serve,44,221992.0,1,2024-07-13,EDM
POP00883,Tax Cup,Ariana Grande,,81,168590.0,False,12-28-2016,pop
ELE02870,Hundred Bad,Aphex Twin,Successful Evidence,68,168350.0,False,04-14-2018,EDM
R-N00289,Activity Upon,The Weeknd,My Quite,62,183311.0,True,2016,r-n-b
ROC00452,Know Across,The Killers,Shoulder Community,54,266324.0,True,08-09-2016,Rock
ELE00737,Company Finish,Bonobo,Issue Role,50,151875.0,True,Jan 2024,EDM
POP02025,Speak Successful,Ariana Grande,Area Success,76,184525.0,no,2016-03-04,POP
HIP02782,Finish Nation,J. Cole,Experience Walk,73,224220.0,True,,hip hop
R-N00599,Offer Make,Ella Mai,Trade Week,69,168002.0,,Jan 2020,RNB
ELE01059,Standard Morning,Bonobo,Light Take,43,220653.0,yes,,electronic
R-N00871,Hour Wife,Ella Mai,Manager Film,67,260001.0,0,03-11-2017,r-n-b
POP02601,Executive Reach,Olivia Rodrigo,Believe Over,79,150628.0,False,Jan 2024,POP
ROC02645,Ever Teacher,Radiohead,Executive Left,47,234963.0,False,15/08/2019,ROCK
ELE02298,Final Save,Disclosure,Product Those,52,256650.0,no,,ELECTRONIC
ROC00532,Any Fight,Foo Fighters,Budget Here,74,,no,2024-03-15,rock
POP01673,Play Want,Ed Sheeran,Forward Size,68,268599.0,0,2020,
ROC02618,We Local,Foo Fighters,All Decide,67,250005.0,True,2016,ROCK
POP00400,Material Really,Olivia Rodrigo,Shake Mouth,64,201740.0,,30/03/2019,POP
POP00871,Mission World,Olivia Rodrigo,Thank During,69,184037.0,1,11-04-2015,POP
ELE00047,Actually Hour,Bicep,Determine If,54,191955.0,clean,26/01/2024,ELECTRONIC
POP00878,Difficult Stuff,Ed Sheeran,Hotel Suggest,74,196131.0,1,18/05/2017,pop music
R-N00272,Within Follow,Frank Ocean,Product Within,65,253576.0,no,,R&B
R-N00695,Cost Music,Jhene Aiko,Energy Government,74,167723.0,0,12-19-2023,RNB
POP00097,Foreign When,Harry Styles,While Onto,76,243375.0,True,2016-08-30,Pop
ROC02585,None Someone,Foo Fighters,Policy None,66,268441.0,clean,09-18-2015,rock
ELE00116,Generation Look,Aphex Twin,Direction Where,68,205943.0,1,05-30-2018,electronic
ELE00351,Bag Religious,Bicep,Century Process,58,252659.0,0,Apr 2024,electronic
R-N00726,Station Collection,Frank Ocean,Meet Nor,72,216800.0,False,,R&B
POP01412,Career Pass,Harry Styles,Well Available,78,188556.0,clean,,
ELE00669,Able Believe,Aphex Twin,Fall Weight,57,253278.0,False,,EDM
ROC02413,Raise Money,Imagine Dragons,Suggest Over,64,223137.0,False,2015-07-11,Rock Music
R-N01752,Nice Agree,Jhene Aiko,Listen Off,63,202175.0,False,2017,r&b
R-N02073,From Though,Beyonce,Capital Wonder,68,254974.0,False,Aug 2020,rnb
POP01237,Hand Will,Billie Eilish,Computer Score,71,268726.0,1,02-24-2017,
HIP00795,Practice Already,J. Cole,Ball Father,67,197151.0,False,02-25-2021,Hip-Hop
ROC02567,Pick Interview,Foo Fighters,Strong Century,66,172714.0,1,,Rock Music
POP00808,Job Certain,Taylor Swift,Beautiful Summer,83,161136.0,0,23/02/2024,POP
ROC01802,Pick Certain,Imagine Dragons,Heart Owner,56,180169.0,False,,Rock
HIP00275,Agency Affect,Kendrick Lamar,House Everyone,79,156813.0,clean,2017,hip-hop
POP02515,Travel Decade,,System Manager,77,175325.0,,2021,pop
ELE02218,What On,Calvin Harris,Mrs Capital,60,215499.0,yes,2021,electro
R-N01295,Owner Red,,Stage Trade,74,256262.0,no,10-15-2017,RNB
ELE01445,Probably Inside,Bicep,Compare Finally,56,164552.0,,10-17-2016,ELECTRONIC
POP02253,Tree Opportunity,Dua Lipa,Natural You,74,263604.0,False,09/08/2019,pop music
HIP02416,Person Reason,Travis Scott,Common Leave,67,150391.0,0,2020,hiphop
ROC02763,Book Wait,The Killers,Way Such,66,224517.0,False,04/03/2016,ROCK
ELE00828,Interview Positive,Disclosure,Voice Sure,59,251766.0,0,2018,electro
HIP01154,Mother Picture,Kendrick Lamar,,76,213509.0,False,09/12/2021,hiphop
ELE01091,Consumer Contain,Calvin Harris,Only Can,45,156056.0,no,28/05/2023,Electronic
ROC02659,,Radiohead,,63,258656.0,1,2017,
ELE01251,Magazine Nearly,Disclosure,,63,219056.0,0,,ELECTRONIC
ROC01408,North Resource,The Killers,Soldier Radio,48,260752.0,1,2017-11-01,Rock Music
R-N00975,But Program,Jhene Aiko,Claim Fall,72,151137.0,1,02-14-2020,rnb
HIP00681,Several Shoulder,Travis Scott,Bank Defense,67,204952.0,0,,hip hop
POP02999,Yourself The,Billie Eilish,Reduce Fact,73,183198.0,1,2015-06-28,pop music
HIP02205,Without Series,Travis Scott,Eight Country,75,262934.0,True,,HIP-HOP
POP02268,Improve Cut,Ed Sheeran,Unit News,71,-1000.0,0,11-19-2016,
ELE00202,Treatment Avoid,Calvin Harris,Protect Administration,50,207076.0,clean,06/06/2019,ELECTRONIC
ELE00109,Choose Join,Disclosure,Program Soon,58,202499.0,1,2023,EDM
R-N00626,Record Around,Beyonce,During Safe,65,262696.0,no,2023-10-06,r-n-b
HIP00924,Affect Contain,Kendrick Lamar,Performance Economic,68,219655.0,False,2015,hip-hop
HIP01076,Explain Charge,Travis Scott,Item Instead,67,248563.0,False,2017-08-30,HIP-HOP
HIP00716,Determine I,J. Cole,Benefit Direction,91,227050.0,False,2021,hip-hop
POP00979,Dream Difficult,Dua Lipa,Stop Key,80,265373.0,0,,Pop
HIP02132,Phone Claim,Nicki Minaj,War Crime,72,150696.0,False,03-29-2022,hip hop
POP00718,Without Information,Olivia Rodrigo,Process Government,72,251109.0,clean,,pop music
ROC00407,Important Push,Coldplay,Other Blue,64,231016.0,,2021-01-21,
HIP01318,Now Level,Kendrick Lamar,Put About,71,253909.0,clean,2020-11-19,HIP-HOP
ELE01840,No Value,Aphex Twin,Name Office,44,212803.0,clean,2019,EDM
HIP00280,Item Least,Cardi B,Pay Yes,64,229652.0,0,,hip hop
HIP02687,New Itself,,Life Despite,66,222820.0,no,10/01/2018,Hip-Hop
POP00019,Again Thank,Harry Styles,Old Situation,999,184760.0,explicit,2023,pop music
ROC00379,Sense Run,Linkin Park,Admit Machine,63,191909.0,1,24/04/2020,Rock
ROC01551,Audience May,Radiohead,,76,166035.0,1,2016,rock
ROC01621,Program Mind,,Capital Think,,181279.0,no,Jul 2022,ROCK
ELE01258,Magazine Process,Bonobo,Reveal Machine,51,161128.0,yes,05-29-2021,electro
ELE01110,Magazine Appear,Bonobo,Institution Woman,49,245089.0,no,02-23-2023,EDM
ROC02601,Box General,Foo Fighters,Behavior According,,251082.0,True,12-11-2020,
ELE00465,Open Group,Bicep,Work Woman,44,176964.0,0,2023,Electronic
R-N02158,Whom Particular,Ella Mai,Future Type,75,256505.0,0,06/11/2017,r&b
ROC00209,Doctor Crime,Coldplay,,57,159814.0,,,Rock
R-N01149,Foot Whether,SZA,Pay Tell,63,214969.0,False,12-09-2023,r-n-b
R-N01247,Account Decision,Beyonce,And Offer,65,246954.0,0,04-17-2017,R&B
POP01667,They Experience,Ariana Grande,Meeting Poor,71,232208.0,,2017-02-02,Pop
HIP00198,Compare Newspaper,Cardi B,Gas Place,67,194766.0,clean,11/06/2023,hip-hop
HIP02012,Him Institution,Kendrick Lamar,Rate Growth,70,256186.0,False,,Hip-Hop
ELE02199,Age Speak,Aphex Twin,Gas Whether,54,217658.0,True,2021,EDM
ELE00084,Public Space,Calvin Harris,Lose Drug,-1,179132.0,1,Aug 2016,electro
ROC00093,After Since,Linkin Park,Month Find,55,161587.0,0,May 2023,ROCK
ROC02961,Prevent Score,Foo Fighters,Data Remain,61,200686.0,yes,2020-09-09,Rock
HIP01223,Huge Direction,Drake,Administration Run,77,266726.0,0,06-18-2019,hip hop
R-N01878,Sound World,H.E.R.,Crime You,68,999999999.0,explicit,05-05-2022,r-n-b
ELE02159,Leave Herself,Bonobo,Protect Reason,70,233569.0,True,2022-06-30,electronic
ELE02130,People Word,Aphex Twin,Weight Research,41,153924.0,explicit,Aug 2020,ELECTRONIC
ELE00397,Fill Subject,Disclosure,After Remain,51,228872.0,False,01/10/2018,EDM
ROC00437,Glass Increase,Linkin Park,Here Social,60,176336.0,0,2018,Rock
ELE02342,Spend Later,Disclosure,Leader Street,50,153580.0,False,2024-02-04,electro
POP01520,Certainly Easy,Olivia Rodrigo,Build Price,83,231204.0,False,,POP
ELE00733,No Economy,Calvin Harris,Analysis Instead,44,188923.0,explicit,12-22-2016,Electronic
POP00246,,Ariana Grande,Member Where,71,195443.0,no,04/03/2019,POP
ELE00827,Itself Face,Martin Garrix,Stay History,49,192473.0,False,Jan 2021,electronic
ROC02762,Draw Experience,Arctic Monkeys,With Economy,53,205110.0,False,Sep 2018,Rock Music
POP02381,,Ed Sheeran,Drop Sell,68,261385.0,no,Mar 2023,
POP01613,Short Provide,Harry Styles,Need Region,74,153469.0,,20/05/2016,pop music
ROC01457,May Major,Radiohead,Instead Green,68,250909.0,False,2018-01-17,ROCK
ELE00479,Coach Yes,Calvin Harris,Parent Report,63,206712.0,0,,ELECTRONIC
POP01572,Fast Arrive,Ed Sheeran,Ago Remain,76,178683.0,False,,pop
ELE01668,Then Task,Disclosure,Politics Peace,55,188070.0,False,Jan 2016,electronic
ROC02063,Hear Single,Radiohead,Dark Majority,69,173192.0,False,2018-02-19,Rock Music
ROC02633,Face Guy,Arctic Monkeys,Red Shake,71,177200.0,False,Sep 2019,ROCK
R-N01669,Somebody Never,Beyonce,Join Recent,77,201970.0,clean,,r-n-b
ROC02959,She Guy,The Killers,Ok Tend,60,222968.0,,2024-10-03,Rock
ELE02416,Back Mrs,Calvin Harris,Sport Figure,54,175188.0,1,25/04/2016,EDM
POP01060,Teacher Speech,Ed Sheeran,Soldier Story,80,,False,16/04/2023,Pop
R-N02813,Guy Staff,Ella Mai,Eye Environmental,60,217783.0,False,,RNB
HIP00371,Later Sit,Nicki Minaj,List Clearly,62,264510.0,clean,28/01/2022,hiphop
POP00100,Store All,Dua Lipa,Indeed Control,65,212163.0,True,,POP
HIP02528,Card Current,J. Cole,Loss Scene,68,160944.0,0,09-17-2021,hip hop
ROC02941,Season Imagine,The Killers,See Dog,76,261371.0,False,2019-07-26,ROCK
HIP01474,Myself Move,Nicki Minaj,Couple Check,75,221124.0,,27/03/2020,hiphop
HIP01274,Claim Ask,Cardi B,Deal Me,56,252239.0,explicit,,HIP-HOP
HIP01617,Rule Leave,Nicki Minaj,Bill Can,51,181594.0,0,2021,Hip-Hop
ELE01576,Owner Wear,Four Tet,Song Study,53,229757.0,True,2024-01-04,EDM
ELE02487,Ground Outside,Bonobo,Note Soldier,45,228610.0,clean,2015-03-05,EDM
HIP02643,Character Keep,Drake,Everybody Answer,79,159178.0,0,,hip hop
ROC00836,Avoid Least,The Killers,Take Home,69,207053.0,1,29/05/2018,Rock
POP01505,Nation On,Ariana Grande,Drug No,71,,yes,09-15-2016,Pop
R-N02829,Painting Fight,Jhene Aiko,Positive Gun,60,208421.0,True,Mar 2016,RNB
HIP02234,Number Space,Drake,Actually Watch,72,180876.0,clean,2022-03-28,hip-hop
ELE01061,About Road,Calvin Harris,Indeed Plan,56,150091.0,clean,2015,EDM
R-N00714,Summer Yeah,Beyonce,,67,160282.0,no,,rnb
POP02841,Interview True,Ariana Grande,Increase Hospital,64,167855.0,False,08-30-2017,pop
HIP02404,Important Bag,Post Malone,Police Central,64,234168.0,yes,Feb 2020,Hip-Hop
ELE02805,Development Ready,Martin Garrix,Method Person,50,169235.0,True,03-14-2022,electronic
R-N00996,Begin Station,Beyonce,,65,267447.0,1,07/12/2024,r&b
ELE02713,Tend Drug,Disclosure,In Similar,57,169740.0,no,2017-01-02,ELECTRONIC
ELE01042,Practice Religious,Bicep,Bill Institution,52,228675.0,no,2021,electro
POP00740,Challenge Total,Ariana Grande,Home Read,62,153365.0,explicit,05/06/2023,POP
POP01975,Including Mention,Olivia Rodrigo,Look When,72,254817.0,False,09-06-2018,POP
POP01889,Assume Goal,,Approach First,74,162302.0,False,12-08-2017,Pop
ROC00171,Smile Of,Imagine Dragons,Direction Moment,63,217153.0,clean,2015,rock
POP02981,Store The,Ariana Grande,Hold Guess,-1,167642.0,False,2021,pop music
HIP00612,Stock Idea,J. Cole,Vote Type,68,240877.0,0,2022,HIP-HOP
ELE00336,Someone Culture,Calvin Harris,Wall Serve,66,267950.0,False,,electronic
ELE02213,Red Off,Bonobo,,59,248693.0,1,,electro
HIP01607,About Fight,J. Cole,Art Leader,73,216259.0,clean,10-12-2023,Hip-Hop
POP00907,Night Imagine,Olivia Rodrigo,Figure Western,79,186482.0,False,,pop music
R-N01406,Woman Provide,Beyonce,Total Those,55,214501.0,clean,02/11/2022,r&b
ROC02133,Factor Focus,Linkin Park,Purpose Consumer,76,238766.0,no,2020-04-23,
HIP00120,Quality Eye,,What Activity,66,159567.0,no,2018-05-25,hip hop
HIP02276,Address In,J. Cole,She Top,60,166633.0,1,03-28-2022,hip-hop
HIP00096,Everyone Maintain,Travis Scott,Operation Old,76,156317.0,False,2024,hip hop
ROC01132,After Challenge,Linkin Park,Within Soon,66,162264.0,no,2022-11-11,Rock
R-N02195,Blood Memory,The Weeknd,Bill Computer,64,174179.0,False,19/05/2020,RNB
R-N02936,Deal Painting,The Weeknd,Artist Decide,67,194599.0,0,2017,R&B
HIP02353,Political Social,Cardi B,He Form,77,162821.0,0,25/05/2023,hiphop
HIP01726,Over Way,Post Malone,Size Relate,,266758.0,False,,hip-hop
R-N00477,Claim Raise,H.E.R.,Must Fly,63,186078.0,no,,R&B
POP02236,Spring Occur,Olivia Rodrigo,Already Grow,75,174141.0,0,Feb 2015,pop
POP01448,Step Plan,Harry Styles,Piece Few,83,157430.0,1,2020-04-09,Pop
HIP01890,Goal Teach,Kendrick Lamar,Offer Like,64,183185.0,1,07-26-2017,hip-hop
ROC00059,Note Decide,The Killers,Ground Five,66,237726.0,no,2017,Rock
POP02814,Particularly Particular,Harry Styles,Really Staff,87,-1000.0,no,07-28-2019,
POP00086,Rise We,Dua Lipa,Show Simply,81,213156.0,,Apr 2016,pop
ELE01474,Majority Six,Martin Garrix,Chair Prevent,58,260862.0,,08/04/2023,EDM
POP02625,Cell Message,Olivia Rodrigo,Reality Where,69,246152.0,False,May 2017,pop music
ELE00200,National Form,Martin Garrix,,68,154481.0,True,2023,ELECTRONIC
R-N02567,Low After,SZA,Throughout Heavy,69,245405.0,False,,r-n-b
ELE02589,Owner Coach,Bicep,Two Give,46,232780.0,yes,16/01/2023,Electronic
POP02708,Include Practice,Billie Eilish,Your For,72,173162.0,True,12/08/2017,pop music
POP02511,Enter Wind,Taylor Swift,View Rate,78,182838.0,False,2023,pop music
R-N02644,Degree Only,Beyonce,Run Lead,67,218873.0,,Nov 2024,rnb
R-N00085,Threat Difficult,Frank Ocean,,77,155927.0,False,Jul 2015,RNB
HIP00555,Figure Community,Cardi B,Style Foreign,69,206648.0,0,12-28-2021,hip-hop
HIP02512,Idea Daughter,Drake,Report Real,74,216201.0,explicit,2016-12-23,hiphop
POP01335,Traditional Their,Ed Sheeran,She According,72,171782.0,clean,2020,
ROC02403,Mind Skin,The Killers,Than Need,61,197889.0,False,Jul 2016,rock
HIP01220,Owner Price,Cardi B,,54,265518.0,,01-10-2020,HIP-HOP
POP00378,Whether Gas,Olivia Rodrigo,Deal Turn,89,165336.0,,2023,POP
ROC02186,Very Claim,Foo Fighters,,66,197384.0,no,03-05-2016,rock
ELE02941,,Disclosure,Before Stand,61,160811.0,False,28/04/2022,EDM
R-N00982,Simply Less,H.E.R.,Value Position,60,205936.0,yes,29/05/2022,rnb
R-N00402,Box Me,SZA,Large Within,65,256085.0,explicit,2016,r-n-b
ROC02853,Education Sure,Linkin Park,Truth Least,47,249430.0,clean,29/12/2018,ROCK
ELE01674,Bar Know,Calvin Harris,National Especially,42,156971.0,1,17/05/2024,Electronic
ROC01203,Study Management,The Killers,Job Increase,56,234904.0,yes,05-16-2022,rock
HIP02101,Each Weight,Kendrick Lamar,Anyone Oil,73,165178.0,0,,hip hop
R-N01637,Item Although,Frank Ocean,Everybody Administration,55,200216.0,0,Mar 2020,r&b
HIP02197,Court High,Drake,Democratic Writer,67,247663.0,False,2024-12-06,hip hop
ROC00542,Know Certainly,Radiohead,Piece Night,49,199228.0,0,2020-12-30,ROCK
R-N01700,Rise Machine,H.E.R.,Relationship Return,61,224427.0,1,02-20-2020,R&B
ROC00127,Only Adult,The Killers,Personal Read,73,259301.0,no,2019-11-05,Rock Music
ELE01786,Create Again,Bonobo,Idea Forward,63,194619.0,explicit,,ELECTRONIC
R-N01049,Along Hard,Frank Ocean,Accept Mission,63,179416.0,1,20/01/2017,r-n-b
ROC00399,Form Series,Linkin Park,Thing House,51,179737.0,explicit,01-10-2021,Rock
POP02348,Teach Power,Dua Lipa,Debate Happen,79,253170.0,0,2018-06-26,
POP02937,Beyond Add,Olivia Rodrigo,Keep Ok,73,202775.0,yes,02/04/2018,
R-N02688,Open Free,H.E.R.,Moment Act,75,268383.0,0,2024-02-12,RNB
POP02705,Her Wrong,Harry Styles,Project Follow,81,210946.0,1,2022,Pop
POP02207,Carry Good,Harry Styles,Language Remember,77,175830.0,,2017,pop
HIP01127,,Kendrick Lamar,,81,163615.0,yes,2018,Hip-Hop
R-N00521,Huge Skill,Frank Ocean,Network Model,62,245216.0,False,Jun 2017,rnb
ROC00749,Far Choose,Linkin Park,Value Time,61,175354.0,1,09/05/2024,Rock
HIP01983,Name Source,Nicki Minaj,Rise Mission,69,209974.0,False,04-25-2022,hip-hop
ELE00003,Interesting And,Disclosure,Will Itself,38,184258.0,0,24/07/2024,electro
POP00890,Sea Decision,Harry Styles,War Staff,80,164442.0,0,21/08/2022,
ELE02677,Tax Space,Four Tet,Child Student,51,222721.0,False,08-05-2023,electro
POP00840,Black Visit,Harry Styles,Reduce Goal,74,195780.0,,,pop music
ROC00319,Many Page,The Killers,Ball Lead,61,180278.0,True,01-24-2022,ROCK
POP01980,Issue Dog,Ed Sheeran,Physical Hospital,68,233927.0,no,07-24-2020,pop
HIP02937,Establish Process,Kendrick Lamar,According Organization,59,166069.0,0,2022-09-26,hip-hop
ROC01497,Ask Treat,Imagine Dragons,Upon Write,78,185925.0,0,2017-09-19,Rock Music
HIP01112,Foreign Necessary,Post Malone,About Wrong,80,177746.0,,2018,hiphop
R-N02996,Usually Boy,,Situation My,75,209486.0,clean,2022-08-10,rnb
POP02377,Society Can,Harry Styles,Notice Exactly,66,252116.0,,12/03/2016,
HIP00430,Marriage Building,Travis Scott,Statement Go,73,267152.0,False,12-21-2017,hip hop
ELE00960,Scientist Just,Bicep,Shake Evening,46,151400.0,1,2024,electro
HIP00521,Bit Author,Nicki Minaj,Card Letter,53,242280.0,False,2023-09-30,hip hop
R-N00066,Usually Debate,H.E.R.,Interest Control,68,171474.0,False,,R&B
ROC01258,Foot Put,Arctic Monkeys,Allow Buy,58,179763.0,,03/08/2024,Rock Music
ROC02127,,Radiohead,Bar Picture,55,227310.0,no,,rock
POP00331,Style Focus,Ariana Grande,Indeed Several,69,212963.0,clean,2023,POP
R-N02990,Instead Meeting,Frank Ocean,Wide Center,999,212181.0,False,2023-08-04,r-n-b
ROC00854,Especially Government,Linkin Park,Word Very,62,240429.0,yes,2015-05-20,Rock Music
ROC00939,Between Low,Coldplay,Smile Soldier,52,207357.0,,2024,Rock Music
R-N01659,Central Together,,Bag Growth,67,196517.0,1,2016,RNB
HIP00840,Form Life,Cardi B,,65,246656.0,1,,hip-hop
ROC01124,Indicate Little,Linkin Park,Upon Mission,72,262077.0,0,04/06/2020,
POP01205,Audience Anything,Harry Styles,Simple Man,75,209669.0,0,,
ELE01274,Close Accept,Aphex Twin,Stop Statement,48,152733.0,yes,,ELECTRONIC
ROC00353,Some Prepare,Linkin Park,Different It,68,214724.0,no,2020-03-28,Rock
R-N01842,Commercial Compare,Beyonce,Generation Be,67,263791.0,False,May 2016,rnb
ROC02489,Guy Write,Coldplay,Coach Authority,57,182662.0,,2015-04-10,Rock Music
R-N00941,Little Just,Frank Ocean,Bit Concern,69,215019.0,yes,Jan 2018,r&b
ELE01679,Take Specific,Four Tet,Unit Write,61,170793.0,True,23/08/2024,Electronic
R-N02874,Agency Law,H.E.R.,Stay Yard,70,258276.0,clean,08/11/2019,r-n-b
HIP02133,Mission Meeting,,Bit Campaign,73,208694.0,clean,Nov 2022,hiphop
ROC02946,Simply Store,Coldplay,Let White,61,158157.0,,2015,Rock Music
R-N00180,Product Increase,Ella Mai,Herself Increase,66,235072.0,,2021-10-01,RNB
ROC02373,Keep Decade,Radiohead,Key Fine,44,202518.0,False,Feb 2022,Rock
HIP00983,Rate Suffer,Kendrick Lamar,Outside Start,62,165697.0,0,25/12/2020,hip-hop
HIP00966,Reveal History,Nicki Minaj,Describe Life,72,227031.0,False,Jun 2021,hip hop
POP01868,Everybody Fish,Taylor Swift,Full College,67,206547.0,no,16/11/2024,Pop
HIP01745,Street May,,How Situation,68,157888.0,0,Dec 2021,HIP-HOP
ELE00079,Century Management,Aphex Twin,Carry Pick,40,210040.0,no,18/11/2024,electro
POP02154,Side Last,Ariana Grande,Whole Floor,66,162243.0,,Oct 2020,pop
ELE02026,Summer Radio,Disclosure,Involve Lot,56,210768.0,False,01-26-2016,Electronic
POP01870,Do Film,Dua Lipa,They Not,67,219113.0,,,pop music
R-N00538,,SZA,Practice On,58,191134.0,,2018-07-25,r&b
ELE02057,Deal Office,Aphex Twin,Inside Control,49,269361.0,False,2018,Electronic
POP00046,Focus Early,Olivia Rodrigo,,71,153552.0,no,07-25-2015,pop music
ROC02640,Say Detail,,Like Product,74,268720.0,0,2017,Rock
R-N00162,Act Fight,Frank Ocean,Mind Quality,68,266868.0,explicit,,RNB
ROC01908,Stock In,Imagine Dragons,Can Pay,68,199325.0,False,04-10-2022,Rock Music
ROC01817,Wind Network,Imagine Dragons,Why Life,55,178871.0,True,02-15-2021,ROCK
HIP00023,Later Administration,Kendrick Lamar,Entire Student,77,163681.0,no,06-11-2015,Hip-Hop
HIP00250,Standard Possible,Kendrick Lamar,Set Step,74,269911.0,0,06-28-2022,hiphop
POP00495,Street List,Olivia Rodrigo,Animal Half,78,233548.0,clean,08-16-2024,POP
HIP02817,Choice Blue,Kendrick Lamar,,71,161803.0,0,2016,hip hop
ELE00450,Less Song,Bicep,According Field,53,251748.0,0,20/10/2023,EDM
POP02540,Art Past,Billie Eilish,Really Rather,70,245274.0,False,Mar 2015,pop
HIP00106,On Tend,Cardi B,Result Tonight,61,252781.0,0,10-25-2015,HIP-HOP
R-N00952,Try Fish,Ella Mai,Plan Until,81,193106.0,False,Oct 2020,r-n-b
